"base_day","lag","rep","scenario","disturb","rho","error"
2020-02-12,32,7,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,8,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,9,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,10,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,11,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,12,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,13,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,14,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,15,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,16,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,17,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,18,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,19,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,20,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,21,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,22,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,23,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,24,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,25,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,26,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,27,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,28,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,29,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,30,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,31,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,32,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,33,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,34,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,35,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,36,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,37,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,38,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,39,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,40,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,41,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,42,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,43,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,44,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,45,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,46,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,47,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,48,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,49,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,50,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,51,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,52,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,53,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,54,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,55,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,56,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,57,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,58,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,59,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,60,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,61,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,62,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,63,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,64,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,65,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,66,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,67,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,68,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,69,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,70,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,71,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,72,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,73,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,74,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,75,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,76,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,77,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,78,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,79,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,80,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,81,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,82,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,83,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,84,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,85,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,86,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,87,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,88,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,89,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,90,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,91,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,92,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,93,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,94,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,95,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,96,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,97,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,98,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,99,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,100,"I_scale",0.5,0.448539657759463,65.0053813083172
2020-02-12,32,1,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,2,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,3,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,4,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,5,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,6,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,7,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,8,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,9,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,10,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,11,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,12,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,13,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,14,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,15,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,16,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,17,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,18,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,19,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,20,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,21,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,22,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,23,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,24,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,25,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,26,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,27,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,28,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,29,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,30,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,31,"I_scale",0.9,0.429531601494747,16.7482262709984
