"day","lag","rho","error","index","event","msa","week","period"
2017-08-18,28,5.95105579006542e-05,132.897584235651,"homo","Hurricane_Harvey","Houston","weekday","before"
2017-08-19,28,6.32858747366229e-05,131.515749586832,"homo","Hurricane_Harvey","Houston","weekend","before"
2017-08-20,28,6.74278527079832e-05,135.041323718074,"homo","Hurricane_Harvey","Houston","weekend","before"
2017-08-21,28,5.27687181145544e-05,145.283398349264,"homo","Hurricane_Harvey","Houston","weekday","before"
2017-08-22,28,6.21129783033329e-05,152.165320534521,"homo","Hurricane_Harvey","Houston","weekday","before"
2017-08-23,28,2.83219414596297e-05,147.274337113765,"homo","Hurricane_Harvey","Houston","weekday","before"
2017-08-24,28,5.95870973330313e-05,154.012623015973,"homo","Hurricane_Harvey","Houston","weekday","before"
2017-08-25,28,5.7735754205259e-05,151.102039183215,"homo","Hurricane_Harvey","Houston","weekday","during"
2017-08-26,28,0.000112757076507474,117.834042237113,"homo","Hurricane_Harvey","Houston","weekend","during"
2017-08-27,28,0.00012306848878382,102.663895113684,"homo","Hurricane_Harvey","Houston","weekend","during"
2017-08-28,28,0.000123125528673354,94.4706674534272,"homo","Hurricane_Harvey","Houston","weekday","during"
2017-08-29,28,0.000110842072050613,95.1298516987097,"homo","Hurricane_Harvey","Houston","weekday","during"
2017-08-30,28,6.76065636812557e-05,102.513948830944,"homo","Hurricane_Harvey","Houston","weekday","during"
2017-08-31,28,2.83438026833882e-05,112.982705715845,"homo","Hurricane_Harvey","Houston","weekday","during"
2017-09-01,28,5.33542617077001e-05,122.489699868223,"homo","Hurricane_Harvey","Houston","weekday","during"
2017-09-02,28,5.45478444402239e-05,124.187006971894,"homo","Hurricane_Harvey","Houston","weekend","after"
2017-09-03,28,5.80286851464142e-05,113.677881598795,"homo","Hurricane_Harvey","Houston","weekend","after"
2017-09-04,28,5.54166601480601e-05,113.589406176995,"homo","Hurricane_Harvey","Houston","weekday","after"
2017-09-05,28,5.74937828254156e-05,124.519570041057,"homo","Hurricane_Harvey","Houston","weekday","after"
2017-09-06,28,5.51855548824526e-05,133.459495886986,"homo","Hurricane_Harvey","Houston","weekday","after"
2017-09-07,28,5.12058318725348e-05,129.16116818842,"homo","Hurricane_Harvey","Houston","weekday","after"
2017-09-08,28,4.98383103287822e-05,132.789416379259,"homo","Hurricane_Harvey","Houston","weekday","after"
2017-08-18,28,4.99994849990927,1005.59015138593,"power","Hurricane_Harvey","Houston","weekday","before"
2017-08-19,28,4.99993336763463,950.511060598615,"power","Hurricane_Harvey","Houston","weekend","before"
2017-08-20,28,4.99995041555057,1100.15147003406,"power","Hurricane_Harvey","Houston","weekend","before"
2017-08-21,28,4.99993546950482,1019.06792992934,"power","Hurricane_Harvey","Houston","weekday","before"
2017-08-22,28,4.99993304193921,986.321449520936,"power","Hurricane_Harvey","Houston","weekday","before"
2017-08-23,28,4.99993578027719,990.111396476467,"power","Hurricane_Harvey","Houston","weekday","before"
2017-08-24,28,4.9999336924259,1129.35867409114,"power","Hurricane_Harvey","Houston","weekday","before"
2017-08-25,28,4.99993727451375,1077.05081497928,"power","Hurricane_Harvey","Houston","weekday","during"
2017-08-26,28,4.99993983929275,840.698821157443,"power","Hurricane_Harvey","Houston","weekend","during"
2017-08-27,28,4.99994275802854,751.637627116048,"power","Hurricane_Harvey","Houston","weekend","during"
2017-08-28,28,4.99994202609906,699.405790645186,"power","Hurricane_Harvey","Houston","weekday","during"
2017-08-29,28,4.99994166867715,785.441730999069,"power","Hurricane_Harvey","Houston","weekday","during"
2017-08-30,28,4.99993769639025,764.56176496547,"power","Hurricane_Harvey","Houston","weekday","during"
2017-08-31,28,4.99994493399911,882.442240487305,"power","Hurricane_Harvey","Houston","weekday","during"
2017-09-01,28,4.9999360413971,931.315687767765,"power","Hurricane_Harvey","Houston","weekday","during"
2017-09-02,28,4.9999409059774,947.448560109283,"power","Hurricane_Harvey","Houston","weekend","after"
2017-09-03,28,4.99995260956855,796.230340115592,"power","Hurricane_Harvey","Houston","weekend","after"
2017-09-04,28,4.99995585064844,828.576662244034,"power","Hurricane_Harvey","Houston","weekday","after"
2017-09-05,28,4.99993786351091,908.407269080996,"power","Hurricane_Harvey","Houston","weekday","after"
2017-09-06,28,4.99993374744546,940.174252753864,"power","Hurricane_Harvey","Houston","weekday","after"
2017-09-07,28,4.99994048069415,987.088419625199,"power","Hurricane_Harvey","Houston","weekday","after"
2017-09-08,28,4.99993690189506,1017.18923672091,"power","Hurricane_Harvey","Houston","weekday","after"
2017-08-18,28,0.270372216746583,130.883305261847,"exp","Hurricane_Harvey","Houston","weekday","before"
2017-08-19,28,0.308689196764329,127.75825444428,"exp","Hurricane_Harvey","Houston","weekend","before"
2017-08-20,28,0.262854748405676,134.666477331063,"exp","Hurricane_Harvey","Houston","weekend","before"
2017-08-21,28,0.320123132668147,140.365895043055,"exp","Hurricane_Harvey","Houston","weekday","before"
2017-08-22,28,0.339809971284852,143.364334868893,"exp","Hurricane_Harvey","Houston","weekday","before"
2017-08-23,28,0.337773904670223,138.777084709343,"exp","Hurricane_Harvey","Houston","weekday","before"
2017-08-24,28,0.288913960639107,150.447473011932,"exp","Hurricane_Harvey","Houston","weekday","before"
2017-08-25,28,0.313106032439044,144.989611430055,"exp","Hurricane_Harvey","Houston","weekday","during"
2017-08-26,28,0.384433753193585,102.841355950624,"exp","Hurricane_Harvey","Houston","weekend","during"
2017-08-27,28,0.402709579335342,85.8548095952,"exp","Hurricane_Harvey","Houston","weekend","during"
2017-08-28,28,0.406092004625883,77.7113951964517,"exp","Hurricane_Harvey","Houston","weekday","during"
2017-08-29,28,0.36545218815336,87.3170607047035,"exp","Hurricane_Harvey","Houston","weekday","during"
2017-08-30,28,0.364812755392106,93.6030579916346,"exp","Hurricane_Harvey","Houston","weekday","during"
2017-08-31,28,0.313512741597717,108.195127661096,"exp","Hurricane_Harvey","Houston","weekday","during"
2017-09-01,28,0.298631409392795,118.288290034423,"exp","Hurricane_Harvey","Houston","weekday","during"
2017-09-02,28,0.294619814539833,120.227377161285,"exp","Hurricane_Harvey","Houston","weekend","after"
2017-09-03,28,0.351542213119991,104.800206226278,"exp","Hurricane_Harvey","Houston","weekend","after"
2017-09-04,28,0.339863886253943,106.069834892665,"exp","Hurricane_Harvey","Houston","weekday","after"
2017-09-05,28,0.323180194334246,118.440098685662,"exp","Hurricane_Harvey","Houston","weekday","after"
2017-09-06,28,0.313083385861215,128.053553881634,"exp","Hurricane_Harvey","Houston","weekday","after"
2017-09-07,28,0.289268275309418,125.411621127041,"exp","Hurricane_Harvey","Houston","weekday","after"
2017-09-08,28,0.267732971910944,130.003319122989,"exp","Hurricane_Harvey","Houston","weekday","after"
2019-08-26,15,0.000521237553843643,266.975688888931,"homo","Hurricane_Dorian","Jacksonville","weekday","before"
2019-08-27,15,0.000593058927786675,269.712843391104,"homo","Hurricane_Dorian","Jacksonville","weekday","before"
2019-08-28,15,0.000411771391763652,290.53665800308,"homo","Hurricane_Dorian","Jacksonville","weekday","before"
2019-08-29,15,0.000572616924777488,289.165632300074,"homo","Hurricane_Dorian","Jacksonville","weekday","before"
2019-08-30,15,0.000901398087368636,275.496284292988,"homo","Hurricane_Dorian","Jacksonville","weekday","before"
2019-08-31,15,0.000418345472051516,258.25568090676,"homo","Hurricane_Dorian","Jacksonville","weekend","before"
2019-09-01,15,0.000567212587094937,257.058472129715,"homo","Hurricane_Dorian","Jacksonville","weekend","before"
2019-09-02,15,0.000539424672600629,257.385529133128,"homo","Hurricane_Dorian","Jacksonville","weekday","during"
2019-09-03,15,0.00106651967638842,226.466051127342,"homo","Hurricane_Dorian","Jacksonville","weekday","during"
2019-09-04,15,0.000107267709981033,215.18904448145,"homo","Hurricane_Dorian","Jacksonville","weekday","during"
2019-09-05,15,9.83538789265428e-05,282.301850082141,"homo","Hurricane_Dorian","Jacksonville","weekday","during"
2019-09-06,15,0.00064523670408975,292.871278979023,"homo","Hurricane_Dorian","Jacksonville","weekday","after"
2019-09-07,15,0.00125255405363271,227.135554536005,"homo","Hurricane_Dorian","Jacksonville","weekend","after"
2019-09-08,15,0.000717539893128868,247.70859118404,"homo","Hurricane_Dorian","Jacksonville","weekend","after"
2019-09-09,15,0.000703851109210196,278.241224516175,"homo","Hurricane_Dorian","Jacksonville","weekday","after"
2019-09-10,15,0.000729246459612599,279.708895033571,"homo","Hurricane_Dorian","Jacksonville","weekday","after"
2019-09-11,15,0.000682557279997246,281.300786397892,"homo","Hurricane_Dorian","Jacksonville","weekday","after"
2019-09-12,15,0.00019247897563216,304.384614254463,"homo","Hurricane_Dorian","Jacksonville","weekday","after"
2019-08-26,15,4.99994874099008,2527.75939637316,"power","Hurricane_Dorian","Jacksonville","weekday","before"
2019-08-27,15,4.99994906639897,2538.21731648621,"power","Hurricane_Dorian","Jacksonville","weekday","before"
